auction_time,delivery_start,side,price_eur_mwh,quantity_mwh,level
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,35.1,11.4,1
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,27.73,47.5,1
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,35.84,9.91,2
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,26.54,48.32,2
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,36.57,9.99,3
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,24.86,40.61,3
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,37.16,15.91,4
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,24.07,15.93,4
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,38.96,26.71,5
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,22.79,5.79,5
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,40.36,22.17,6
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,21.41,34.53,6
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,41.92,15.27,7
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,20.84,22.57,7
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,42.45,30.98,8
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,19.42,6.98,8
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,44.41,7.84,9
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,18.67,25.26,9
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,sell,46.15,15.32,10
2022-12-31 15:00:00+01:00,2023-01-01 00:00:00+01:00,buy,18.07,2.69,10
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,31.34,30.3,1
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,23.9,35.64,1
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,32.84,46.17,2
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,22.58,36.72,2
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,33.8,5.34,3
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,21.87,38.79,3
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,35.08,10.6,4
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,20.17,4.63,4
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,36.4,3.22,5
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,19.55,18.56,5
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,37.18,16.94,6
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,17.57,6.68,6
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,39.14,20.05,7
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,15.92,43.29,7
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,40.8,14.3,8
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,15.12,31.54,8
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,42.71,41.61,9
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,14.61,17.21,9
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,sell,44.55,18.48,10
2022-12-31 15:00:00+01:00,2023-01-01 01:00:00+01:00,buy,12.89,4.11,10
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,27.8,21.95,1
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,19.79,10.14,1
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,29.63,2.25,2
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,18.95,44.74,2
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,30.84,6.29,3
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,18.33,27.43,3
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,31.52,2.54,4
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,17.4,40.56,4
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,33.08,32.18,5
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,16.65,44.91,5
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,34.73,16.4,6
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,14.76,16.58,6
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,36.07,25.92,7
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,13.05,6.39,7
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,37.72,45.47,8
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,11.6,12.17,8
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,38.97,13.22,9
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,9.79,21.93,9
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,sell,40.25,21.11,10
2022-12-31 15:00:00+01:00,2023-01-01 02:00:00+01:00,buy,8.08,41.08,10
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,25.99,18.82,1
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,19.46,12.64,1
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,27.26,48.62,2
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,18.54,36.68,2
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,28.39,48.16,3
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,16.68,19.02,3
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,29.22,13.34,4
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,15.82,31.98,4
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,29.9,25.37,5
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,15.11,32.04,5
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,30.9,15.74,6
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,13.87,27.25,6
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,32.82,14.96,7
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,11.89,5.42,7
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,33.8,2.81,8
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,11.03,41.93,8
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,35.08,30.87,9
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,9.52,16.72,9
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,sell,36.64,25.63,10
2022-12-31 15:00:00+01:00,2023-01-01 03:00:00+01:00,buy,7.88,10.14,10
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,30.38,6.56,1
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,23.3,5.12,1
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,31.65,46.31,2
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,21.45,8.92,2
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,32.49,43.99,3
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,20.0,45.03,3
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,33.95,13.64,4
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,18.99,30.72,4
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,34.72,33.34,5
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,17.97,1.45,5
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,36.25,41.04,6
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,16.38,5.97,6
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,37.33,28.2,7
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,14.53,33.51,7
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,39.24,26.95,8
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,12.7,1.25,8
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,39.94,12.85,9
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,11.03,8.88,9
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,sell,40.96,5.56,10
2022-12-31 15:00:00+01:00,2023-01-01 04:00:00+01:00,buy,9.57,27.89,10
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,32.1,5.59,1
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,24.49,45.83,1
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,32.94,19.02,2
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,23.25,19.14,2
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,34.51,13.99,3
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,22.46,1.76,3
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,35.36,12.96,4
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,20.88,46.49,4
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,36.35,48.68,5
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,19.95,21.98,5
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,37.97,20.26,6
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,19.42,48.37,6
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,39.44,44.71,7
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,17.95,48.22,7
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,41.22,31.93,8
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,17.18,42.8,8
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,42.7,39.95,9
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,15.27,15.43,9
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,sell,44.06,25.63,10
2022-12-31 15:00:00+01:00,2023-01-01 05:00:00+01:00,buy,13.34,19.87,10
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,37.03,37.3,1
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,31.77,2.76,1
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,38.94,35.15,2
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,30.07,23.81,2
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,40.48,35.42,3
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,28.6,27.59,3
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,41.84,18.62,4
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,27.04,15.04,4
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,42.48,15.39,5
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,25.35,29.95,5
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,43.91,40.66,6
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,23.52,2.49,6
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,45.89,40.7,7
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,22.51,2.83,7
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,46.6,43.49,8
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,21.44,41.31,8
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,47.88,45.75,9
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,20.8,18.65,9
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,sell,49.7,26.06,10
2022-12-31 15:00:00+01:00,2023-01-01 06:00:00+01:00,buy,19.44,7.23,10
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,50.47,26.3,1
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,43.61,28.16,1
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,51.29,16.82,2
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,42.85,30.97,2
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,52.73,39.96,3
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,42.12,21.56,3
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,53.35,14.27,4
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,41.24,13.14,4
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,53.93,22.51,5
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,39.92,18.44,5
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,55.23,4.84,6
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,38.35,38.13,6
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,56.54,2.24,7
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,36.86,1.71,7
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,58.0,48.17,8
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,35.94,6.69,8
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,59.59,41.96,9
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,34.0,3.25,9
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,sell,61.55,35.1,10
2022-12-31 15:00:00+01:00,2023-01-01 07:00:00+01:00,buy,32.4,3.0,10
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,53.23,31.67,1
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,47.32,4.4,1
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,54.46,25.65,2
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,46.24,5.94,2
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,55.67,42.97,3
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,44.77,1.89,3
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,56.43,33.28,4
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,43.59,5.63,4
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,57.58,8.98,5
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,42.27,34.47,5
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,58.68,4.46,6
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,40.35,4.49,6
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,60.11,32.48,7
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,39.28,16.63,7
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,61.56,2.3,8
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,37.33,42.4,8
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,62.13,29.7,9
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,35.48,2.14,9
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,sell,63.19,47.07,10
2022-12-31 15:00:00+01:00,2023-01-01 08:00:00+01:00,buy,34.68,40.91,10
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,52.16,49.53,1
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,47.71,16.65,1
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,53.71,21.22,2
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,45.85,47.55,2
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,55.15,19.23,3
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,44.59,47.58,3
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,56.97,39.04,4
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,42.85,29.1,4
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,58.57,17.7,5
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,41.87,31.96,5
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,60.28,46.61,6
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,40.03,22.97,6
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,61.2,43.06,7
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,38.95,15.37,7
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,61.97,22.02,8
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,38.43,17.1,8
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,63.59,37.79,9
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,36.57,33.95,9
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,sell,65.3,37.97,10
2022-12-31 15:00:00+01:00,2023-01-01 09:00:00+01:00,buy,35.94,37.87,10
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,50.2,5.96,1
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,45.53,45.41,1
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,50.78,5.12,2
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,43.81,6.45,2
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,52.11,35.35,3
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,41.89,25.14,3
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,53.27,4.57,4
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,39.91,1.56,4
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,55.1,41.27,5
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,38.28,23.96,5
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,56.13,35.61,6
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,37.22,3.76,6
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,56.8,4.99,7
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,36.6,6.82,7
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,57.52,5.16,8
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,34.93,6.76,8
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,59.16,49.35,9
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,33.59,32.81,9
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,sell,60.59,19.34,10
2022-12-31 15:00:00+01:00,2023-01-01 10:00:00+01:00,buy,32.46,37.56,10
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,sell,51.05,26.86,1
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,buy,43.39,23.72,1
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,sell,52.11,49.66,2
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,buy,41.54,18.31,2
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,sell,53.04,4.62,3
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,buy,40.97,29.6,3
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,sell,54.84,28.14,4
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,buy,40.05,4.81,4
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,sell,55.67,48.5,5
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,buy,38.12,48.75,5
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,sell,57.62,26.63,6
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,buy,36.29,49.32,6
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,sell,58.14,31.84,7
2022-12-31 15:00:00+01:00,2023-01-01 11:00:00+01:00,buy,35.11,35.21,7
